tick,agentId,energy,belief,llr,neighborsCount,speed,distanceTraveled,resourcesGathered,isSleeper
5,1,99.3,0.107,2.119,2,0.7,4,0,0
5,2,87.2,0.483,0.069,6,1.39,7,0,0
5,3,72.7,0.206,1.35,2,0.43,2,0,0
5,4,75.5,0.15,1.737,2,0.86,4,0,0
5,5,84,0.092,2.288,5,1.94,10,0,0
5,6,93,0.074,2.522,1,1.26,6,0,0
5,7,78.4,0.503,-0.012,6,1.31,7,0,0
5,8,78,0.322,0.743,8,1.33,6,0,1
5,9,73.4,0.153,1.71,2,1.64,8,0,0
5,10,82.3,0.235,1.182,4,1.96,10,0,0
5,11,62.1,0.094,2.264,5,1.62,8,1,0
5,12,94.6,0.105,2.138,1,1.63,8,0,0
5,13,72.4,0.231,1.2,2,0.78,4,0,0
5,14,70.5,0.285,0.918,4,1.31,7,0,0
5,15,93.5,0.271,0.99,4,1.05,5,0,0
5,16,73.9,0.128,1.915,1,2.15,11,0,0
5,17,95.1,0.289,0.898,4,1.4,7,0,0
5,18,68.8,0.288,0.907,4,2.03,10,0,0
5,19,100,0.102,2.18,3,0.81,4,7,0
5,20,71.1,0.103,2.163,3,1.13,6,8,0
5,21,89.2,0.131,1.896,2,0.89,5,0,0
5,22,70.6,0.119,1.997,2,1.52,8,0,0
5,23,78.9,0.339,0.667,5,1.61,8,3,0
5,24,100,0.101,2.184,3,1.01,5,6,0
5,25,85.7,0.429,0.284,7,1.63,8,0,1
5,26,88,0.282,0.933,4,1.38,7,0,0
5,27,82.6,0.096,2.244,5,1.1,6,0,0
5,28,75.8,0.098,2.221,5,1.51,8,0,0
5,29,64.8,0.345,0.639,3,0.48,2,0,0
5,30,73.7,0.554,-0.218,7,0.59,3,0,1
5,31,81.2,0.438,0.251,6,1.35,7,0,1
5,32,93.8,0.374,0.516,4,1.68,8,0,0
5,33,70.6,0.102,2.176,3,1.47,8,7,0
5,34,90.9,0.104,2.152,3,0.98,5,8,0
5,35,70.6,0.507,-0.029,6,2.06,10,0,0
5,36,72.6,0.281,0.938,3,2,10,0,0
5,37,91.5,0.129,1.906,1,2.39,12,0,0
5,38,84.3,0.363,0.564,5,1.78,8,0,0
5,39,89.3,0.26,1.047,4,1.07,6,0,0
5,40,76.9,0.146,1.767,2,0.69,4,0,0
5,41,86.3,0.091,2.307,4,1.71,9,0,0
5,42,81.5,0.347,0.633,5,1.35,7,1,0
5,43,74.4,0.151,1.727,1,0.56,3,0,0
5,44,88.4,0.204,1.362,2,0.81,4,0,0
5,45,92.3,0.272,0.983,4,1.71,9,0,0
5,46,83.7,0.163,1.633,3,1.52,8,0,0
5,47,69.9,0.52,-0.08,6,1.37,7,0,1
5,48,99.2,0.552,-0.207,7,0.76,4,0,1
5,49,88.1,0.449,0.203,7,1.56,8,0,0
5,50,63.7,0.555,-0.221,7,0.68,3,0,1
10,1,98.9,0.12,1.994,2,0.67,7,0,0
10,2,86.5,0.457,0.173,7,1.39,14,0,0
10,3,72.2,0.227,1.224,2,0.42,4,0,0
10,4,74.9,0.162,1.643,2,0.84,9,0,0
10,5,83.1,0.098,2.222,5,1.8,19,0,0
10,6,92.4,0.134,1.868,1,1.26,13,0,0
10,7,77.7,0.486,0.055,6,1.31,13,0,0
10,8,77.3,0.281,0.938,8,1.41,13,0,1
10,9,72.6,0.143,1.791,2,1.6,16,0,0
10,10,81.4,0.246,1.122,4,2.02,20,0,0
10,11,67.7,0.096,2.244,5,1.61,16,8,0
10,12,93.8,0.265,1.02,1,1.63,16,0,0
10,13,71.8,0.336,0.681,2,0.67,8,0,0
10,14,69.9,0.288,0.904,4,1.1,12,0,0
10,15,92.9,0.256,1.066,4,1.21,11,0,0
10,16,73,0.179,1.521,1,2.07,21,0,0
10,17,94.4,0.287,0.912,4,1.46,14,0,0
10,18,67.9,0.288,0.906,4,2.04,20,0,0
10,19,100,0.101,2.184,3,0.81,8,14,0
10,20,78.3,0.098,2.219,3,1.14,11,15,0
10,21,88.6,0.13,1.903,2,0.9,9,0,0
10,22,69.8,0.167,1.604,2,1.51,15,0,0
10,23,78.1,0.404,0.391,5,1.64,16,3,0
10,24,100,0.098,2.224,3,1.04,10,13,0
